Panama	 male	15-24 	0.053548
Panama	 female	25-34 	0.006757
Panama	 male	25-34 	0.057975
Panama	 female	35-54 	0.008180
Panama	 male	35-54 	0.050611
Panama	 female	5-14 	0.001257
Panama	 male	5-14 	0.005659
Panama	 female	55-74 	0.006135
Panama	 male	55-74 	0.050320
Panama	 female	75+ 	0.006949
Panama	 male	75+ 	0.093090
Poland	 female	15-24 	0.020445
Poland	 male	15-24 	0.146164
Poland	 female	25-34 	0.017797
Poland	 male	25-34 	0.179011
Poland	 female	35-54 	0.036563
Poland	 male	35-54 	0.254367
Poland	 female	5-14 	0.002316
Poland	 male	5-14 	0.004459
Poland	 female	55-74 	0.044426
Poland	 male	55-74 	0.289277
Poland	 female	75+ 	0.032413
Poland	 male	75+ 	0.224173
Puerto Rico	 female	15-24 	0.005153
Puerto Rico	 male	15-24 	0.038658
Puerto Rico	 female	25-34 	0.013976
Puerto Rico	 male	25-34 	0.061324
Puerto Rico	 female	35-54 	0.017695
Puerto Rico	 male	35-54 	0.104938
Puerto Rico	 female	5-14 	0.000846
Puerto Rico	 male	5-14 	0.003691
Puerto Rico	 female	55-74 	0.018066
Puerto Rico	 male	55-74 	0.155202
Puerto Rico	 female	75+ 	0.003575
Puerto Rico	 male	75+ 	0.173239
Qatar	 female	15-24 	0.009090
Qatar	 male	15-24 	0.028212
Qatar	 female	25-34 	0.006267
Qatar	 male	25-34 	0.018909
Qatar	 female	35-54 	0.007942
Qatar	 male	35-54 	0.022472
Qatar	 female	5-14 	0.000000
Qatar	 male	5-14 	0.000000
Qatar	 female	55-74 	0.010509
Qatar	 male	55-74 	0.008958
Qatar	 female	75+ 	0.000000
Qatar	 male	75+ 	0.000000
Republic of Korea	 female	15-24 	0.058289
Republic of Korea	 male	15-24 	0.088213
Republic of Korea	 female	25-34 	0.129862
Republic of Korea	 male	25-34 	0.208735
Republic of Korea	 female	35-54 	0.124183
Republic of Korea	 male	35-54 	0.323355
Republic of Korea	 female	5-14 	0.003975
Republic of Korea	 male	5-14 	0.005374
Republic of Korea	 female	55-74 	0.134116
Republic of Korea	 male	55-74 	0.448940
Republic of Korea	 female	75+ 	0.330115
Republic of Korea	 male	75+ 	0.972441
Republic of Moldova	 female	15-24 	0.024338
Republic of Moldova	 male	15-24 	0.088622
Republic of Moldova	 female	25-34 	0.022890
Republic of Moldova	 male	25-34 	0.146200
Republic of Moldova	 female	35-54 	0.047013
Republic of Moldova	 male	35-54 	0.323088
Republic of Moldova	 female	5-14 	0.008885
Republic of Moldova	 male	5-14 	0.005055
Republic of Moldova	 female	55-74 	0.049384
Republic of Moldova	 male	55-74 	0.357176
Republic of Moldova	 female	75+ 	0.047142
Republic of Moldova	 male	75+ 	0.232562
Rodrigues	 female	15-24 	0.074831
Rodrigues	 male	15-24 	0.069862
Rodrigues	 female	25-34 	0.061641
Rodrigues	 male	25-34 	0.092378
Rodrigues	 female	35-54 	0.000000
Rodrigues	 male	35-54 	0.134549
Rodrigues	 female	5-14 	0.057876
Rodrigues	 male	5-14 	0.000000
Rodrigues	 female	55-74 	0.089444
Rodrigues	 male	55-74 	0.090127
